#;;X
ENG_3310;Нормандские острова;X
DEN_253;Северная Атлантика;X
NOR_3246;Арктика;X
ANA_3317;Приантарктические острова;X
FRA_2124;Майотта и Эпарсе;X
ANA_3321;Антарктика;X
RUS_2702;Приаралье;X
RUS_2606;Караганда;X
KOK_1203;Южный Кыргызстан;X
ENG_2534;Центральная Меланезия;X
SAM_2543;Самоа;X
FRA_1097;Новая Каледония;X
FRA_2542;Уоллис и Футуна;X
ENG_2547;Эллис и Токелау;X
ENG_2545;Ниуэ и Острова Кука;X
ENG_2552;Острова Питкэрн;X
FRA_2553;Туамоту и Маркизские о-ва;X
USA_2526;Северная Полинезия;X
NAU_2523;Науру;X
SPA_2521;Марианские и Маршалловы острова;X
PROV3308;Гернси;X
PROV3309;Олдерни;X
PROV3310;Джерси;X
PROV3311;Сент-Килда;X
PROV3312;Роккол;X
PROV3313;Медвежий;X
PROV3314;Острова Кораллового моря;X
PROV3315;Ашмор и Картье;X
PROV3316;Херд и Макдональд;X
PROV3317;Кергелен;X
PROV3318;Сент-Поль и Амстердам;X
PROV3319;Крозе;X
PROV3320;Эпарсе;X
PROV3321;Буве;X
PROV3322;Клиппертон;X
PROV3323;Шадринск;X
PROV3324;Новая Земля;X
PROV3325;Монако;X
PROV3326;Каркаралы;X
PROV3327;Усть-Каменная;X
PROV3328;Зайсан;X
PROV3329;Карсакпай;X
PROV3330;Челкар;X
PROV3331;Павлодар;X
PROV3332;Акбакай;X
PROV3333;Иссык-Куль;X
PROV3334;Талас;X
PROV3335;Сулюкта;X
PROV3336;Джалал-Абад;X
PROV3337;Петропавловск;X
PROV3338;Гамбье;X
PROV3339;Тубуаи;X
PROV3340;Утуроа;X
PROV3341;Кауаи;X
PROV3342;Бейкер и Холанд;X
PROV3343;Джервис;X
PROV3344;Острова Феникс;X
PROV3345;Джонстон;X
PROV3346;Кусаие;X
PROV3349;Китира;X
PROV3350;Менорка;X
PROV3351;Ибица;X
PROV3352;Сен-Бартелеми;X
JER;Джерси;X
GUE;Гернси;X
ALE;Олдерни;X
CIS;Норманды;X
SCI;Силли;X
SVA;Шпицберген;X
ANA;Антарктика;X
MNC;Монако;X
LJU;Младший Жуз;X
MJU;Средний Жуз;X
GJU;Старший Жуз;X
BDK;Бадахшан;X
MAO;Маори;X
NAU;Науру;X
FIJ;Фиджи;X
NIU;Ниуэ ;X
PIT;Питкэрн;X
TAH;Таити;X
GMB;Гамбье;X
TUB;Тубуаи;X
TUA;Туамоту;X
MQU;Маркизские острова;X
WAF;Уоллис и Футуна;X
