EVTDESC188718953;«Гамбургско-американский грузовой пароход, «Palatia», под командованием капитана Копффа, прибывший сегодня утром, был первым в мире пароходом, прошедшим через Кильский канал. Раоты над каналом были практически завершены, и рейс «Palatia» служил проверкой мореходности. Несколько раз днище корабля коснулось дна канала, но повреждений замечено не было»  Газета «New York Times»,23 июня  1895 года.;X
building_suez_canal;Постройка Суэцкого канала;x
building_suez_canal_desc;В настоящее время ведется постройка Суэцкого канала. После завершения очередного этапа строительства, случится событие, чтобы держать вас в курсе дел. Строительство займет примерно 10 лет.;x
building_panama_canal;Постройка Панамского канала;x
building_panama_canal_desc;В настоящее время ведется постройка Панамского канала. После завершения очередного этапа строительства, случится событие, чтобы держать вас в курсе дел. Строительство займет примерно 12.5 лет;x
building_kiel_canal;Постройка Кильского Канала;x
building_kiel_canal_desc;В настоящее время ведется постройка Суэцкого канала. После завершения очередного этапа строительства, случится событие, чтобы держать вас в курсе дел. Строительство займет примерно 8 лет;x
EVTDESC185918692;На озерах и поблизости от морского побережья мощные землероечные машины прорывают путь каналу...;x
EVTDESC185918694;Сначала постройку Суэцкого канала осуществляли, как и тысячи лет назад – с помощью рабочей силы. Однако позже машины взяли дело на себя, когда выяснилось, что куда проще искусственно залить землю водой и с помощью машин рыть канал дальше, нежели копать сухой грунт;x
EVTDESC185918695;Сегодня  бедуины подняли восстание среди наших рабочих, и строительство Суэцкого канала было приостановлено «до особого распоряжения». Мы подозреваем, что за этим стоят британцы, так как они были против нашего проекта с самого начала. Они обвиняли нас в использовании рабского труда. Конечно же, истинной причиной является то, что канал представляет угрозу стратегическим интересам Великобритании. У нас нет другого выбора, кроме как отменить Corvйе (неоплаченный труд), чтобы продолжить реализацию проекта. К сожалению, это обойдется нам очень дорого, как в плане денег, так и в плане потраченного впустую времени.;x
building_suez_canal_revolt;Восстание рабочих на Суэцком канале;x
building_suez_canal_revolt_desc;Постройка Суэцкого канала откладывается до подавления восстания рабочих.;x
kiel_canal;Кильский канал;x
panama_canal;Панамский канал;x
EVTDESC190419144;Договор «Хэя — Бунау Варильи» - соглашение между США и Панамой о предоставлении исключительных прав США на постройку канала на Панамском перешейке, в обмен на денежную компенсацию в 10 млн. долларов плюс ренту в 250 тыс. долларов.;x
EVTDESC190419145;Договор «Хэя — Бунау Варильи» - соглашение между США и Панамой о предоставлении исключительных прав США на постройку канала на Панамском перешейке, в обмен на денежную компенсацию в 10 млн. долларов плюс ренту в 250 тыс. долларов.;x
EVTDESC190419146;Договор «Хэя — Бунау Варильи» - соглашение между США и Панамой о предоставлении исключительных прав США на постройку канала на Панамском перешейке, в обмен на денежную компенсацию в 10 млн. долларов плюс ренту в 250 тыс. долларов.;x
panama_canal_treaty_desc;Договор «Хэя — Бунау Варильи» - соглашение между США и Панамой о предоставлении исключительных прав США на постройку канала на Панамском перешейке, в обмен на денежную компенсацию в 10 млн. долларов плюс ренту в 250 тыс. долларов.;x
EVTDESC185918696;В $YEAR$ году договор о постройке Суэцкого канала был подписан в обмен на денежную компенсацию в 10 млн. и ежегодную ренту в 250 тыс.;x
EVTDESC185918697;В $YEAR$ году договор о постройке Суэцкого канала был подписан в обмен на денежную компенсацию в 10 млн. и ежегодную ренту в 250 тыс.;x
EVTDESC185918698;В $YEAR$ году договор о постройке Суэцкого канала был подписан в обмен на денежную компенсацию в 10 млн. и ежегодную ренту в 250 тыс.;x
suez_canal_treaty;Договор о постройке Суэцкого канала;x
suez_canal_treaty_desc;В $YEAR$ году договор о постройке Суэцкого канала был подписан в обмен на денежную компенсацию в 10 млн. и ежегодную ренту в 250 тыс.;x
EVTDESC188718955;Строительство Кильского канала было завершено в 1895 году. Для строительства потребовались восемь лет упорной работы более 9000 рабочих. Канал соединяет Северное и Балтийское моря и имеет длину 98 километров. Самая высокая точка – 25 метров над уровнем моря, общий объем раскопок – около 100 млн. кубометров, а стоимость – 40 млн. долларов;x
EVTDESC185918699;20 ноября 1859 года Фердинандом де Лессепсом был возведен памятник Вегхорну, с которого открывается вид на устье Суэцкого канала в порту города Тевфик. На постаменте были нанесены слова восхищения: «В честь и память щедрому, хоть и несчастному человеку, кто в одиночку, без посторонней помощи, через череду непосильного труда и героических усилий на практике установил почтовое сообщение через Египет и связь между Западом и Востоком» Именно он был первопроходцем египетской морской торговли, связанной с завершением строительства канала;x
EVTDESC1859186910;Постройка Суэцкого канала началась в 1859 году и закончилась в 1869-м. Канал соединяет Средиземное и Красное моря, и кардинально  сокращает время пути из Европы в Азию. 30000 человек работали на строительстве, еще тысячи погибли. Суэцкий канал обошелся в 100 млн. долларов, что более чем в два раза превышает стоимость по первоначальной смете.;x
EVTDESC190419147;Панамский канал соединяет Атлантический и Тихий океаны, заменяя собой долгий и опасный путь вокруг Южной Америки. Строительство начали французы в 1880 году, однако позже им пришлось отказаться от проекта в силу технических проблем, финансовых махинаций организаторов и высокой смертности среди рабочих благодаря тропическим болезням. В 1904 году строительство было возобновлено Соединенными Штатами, которые и открыли Панамский канал в 1914 году. Даже с использованием последних достижений медицины погибло более 5000 рабочих. Общая стоимость канала для правительства США составила 600 млн. долларов.;x
EVTDESC190419148;Болезни, в частности малярия и лихорадка, были одной из основных трудностей во время строительства Панамского канала. Более 22000 человек погибли во время строительства канала французами. Еще 5000, несмотря на все достижения в области медицины, погибло за 10 лет американского строительства;x
EVTDESC190419149;На изображении показан агрегат для обеззараживания и профилактики болезней, переносимых москитами. В 1881 году кубинским ученым Карлосом Финлеем было установлено, что именно москиты являются переносчиками малярии и лихорадки. Благодаря этому открытию, во время второй попытки постройки Панамского канала, широко применялись новые меры по противоборству тропическим болезням, что позволило сохранить множество жизней и улучшить условия труда;x
EVTDESC1904191410;Механическая лопата Мариона. Панамский канал, 1908 год. :\n Джон Стивен, американский инженер, разработал сложную систему удаления раскопанного грунта на пути землекопов. Даже во время самой напряженной работы на раскопках, 25000 человек могли вытащить миллион кубометров земли.;x
EVTDESC1904191411;Сорок тонн динамита уничтожили последний барьер между океанами. Больше 600 ям, наполненных динамитом, подрывались ежедневно. В общей сложности было использовано при строительстве.;x
EVTDESC1904191412;На изображении показаны рабочие, копающие небольшой канал через оползень Кукарача, разгребая 400000 кубометров глины. Постоянные сходы горных пород затормаживали постройку Панамского канала. Например треть из всего выкопанного грунта в разломе Кулебра вернулась обратно из-за оползня.;x
EVTDESC1904191413;На изображении показан судебный процесс по делу о ликвидации «Компании Панамского Канала», в Париже. Грандиозный скандал разразился в Третьей Республике в 1892 году. Почти миллиард франков был потрачен на взятки правительству Франции, чтобы не разглашать информацию о финансовых проблемах компании. Это событие считается самым грандиозным коррупционным скандалом XIX века;x
EVTDESC1904191414;Карикатура на скандал вокруг банкротства Компании Панамского Канала.:\n в 1892 году 800000 французов потеряли все свои сбережения, вложенные в компанию, на общую сумму в 1.8 миллиарда золотых франков;x
building_panama_canal_scandal;Скандал вокруг Панамского канала;x
building_panama_canal_scandal_desc;До тех пор, пока память о катастрофической попытке строительства Панамского канала не исчезнет, мы не сможем продолжить строительство.;x
EVTDESC1904191415;В 1902 году Франция продала все средства для постройки канала американцам за 40 миллионов долларов.;x
build_suez_canal_mod_title;Строительство Суэцкого канала;x
