######################################################################################################################;;;
#Scenario;;;
######################################################################################################################;;;
HA_NAME;Священный союз;X;
HA_DESC;Взятие Парижа русскими войсками и окончательное поражение Наполеона под Ватерлоо ознаменовало ликвидацию всех последствий Французкой Революции. На Венском конгрессе, созванном после победы, европейские монархи торжественно провозгласили священный союз против любой революционной опасности. Но так ли крепок установившийся в мире порядок? Опустошенная Наполеоном Испания сотрясается от смут и неурядиц, ее колониальная империя под угрозой. Сепаратисткие движения в Южной Америке продолжают набирать силу, революционные настроения в самой Европе хоть и подавлены, но не затухли окончательно, а все ускоряющиеся темпы научно - технического прогресса все больше утверждают превосходство Европы над всем остальным миром.Мир стоит на перепутье, и пока что неизвестно, куда он повернет.;X;
WW1_NAME;Великая война;X;
WW1_DESC;Десятилетиями накапливавшиеся империалистические противоречия вылились в грандиозное столкновение двух военно-политических блоков. Горючего материала в международной политике было так много, что пламя войны, вспыхнувшей в конце июля 1914 г. Между Австрией и Сербией, в течение нескольких дней распространилось на всю Европу, а затем, продолжая расти, охватило весь мир;X;
IW_NAME;Затишье перед бурей;X;
IW_DESC;"Великой Войне, которая унесла много миллионов жизней, положил конец Версальский мирный договор. Создание Лиги наций ознаменовало установление нового мирового порядка, а штыки армий стран - победительниц крепко закрепили его. Но так ли прочен этот порядок? Семена ненависти и унижения, посеянные во время Великой Войны, продолжают тлеть в сердцах людей. Многие немецкие патриоты жаждут вернуть величие своей стране - и в реавншистких устремлениях они не одиноки. Коммунисты, пришедшие к власти в России после революции 1917 года и кровопролитной гражданской войны, еще не отказались от мировой революции. И даже члены Антанты - Италия и Япония,  далеко не во всем согласны с новым раскладом сил... История стоит на перепутье. ""Посеешь ветер - пожнешь бурю"", говорит старая пословица. Справедлива ли она?";X;
######################################################################################################################;;;
# Countries & Parties;;;
######################################################################################################################;;;
SOV;Советский Союз;X;
SOV_ADJ;Советск.;X;
SOV_communist_2;ВКП(б);X;
SOV_communist_3;ВКП(б) (НЭП);X;
SOV_communist_4;КПСС;X;
SOV_communist_5;КПСС (НЭП);X;
BLR;Беларусь;X;
BLR_ADJ;Беларусск.;X;
BLR_conservative;Христианско-консервативная партия;X;
BLR_liberal;Народный фронт;X;
BLR_reactionary;Правый блок;X;
BLR_anarcho_liberal;Революционное действие;X;
BLR_socialist;Грамада;X;
BLR_communist;Коммунистическая партия;X;
BLR_fascist;Фашистская партия;X;
ERM;Восточная Румелия;X;
ERM_ADJ;Восточнорумельск.;X;
ERM_liberal;Либеральная партия;X;
ERM_conservative;Консервативная партия;X;
ERM_socialist;Социалистическая партия;X;
ERM_communist;Коммунистическая партия;X;
ERM_reactionary;Реакционная партия;X;
ERM_fascist;Фашистская партия;X;
ERM_anarcho_liberal;Радикальная партия;X;
GER_socialist_4;Всеобщий германский рабочий союз;X;
NGF_socialist_4;Всеобщий германский рабочий союз;X;
PRU_socialist_4;Всеобщий германский рабочий союз;X;
GER_socialist_5;Социал-демократическая партия Германии;X;
RUT_proletarian_dictatorship;ЗУНР;X;
RUT_presidential_dictatorship;Западная Украина;X;
RUT_bourgeois_dictatorship;Западная Украина;X;
RUT_fascist_dictatorship;Западная Украина;X;
RUT_democracy;Западная Украина;X;
IMP;Сторонники императора;X;
IMP_ADJ;Японск.;X;
TKG;Сегунат Токугава;X;
TKG_ADJ;Японск.;X;
JAP_prussian_constitutionalism;Японская Империя;X;
PUE;Пуэрто-Рико;X;
PUE_ADJ;Пуэрториканск.;X;
PUE_liberal;Либеральная партия;X;
PUE_conservative;Консервативная партия;X;
PUE_socialist;Социалистическая партия;X;
PUE_communist;Коммунистическая партия;X;
PUE_reactionary;Реакционная партия;X;
PUE_fascist;Фашистская партия;X;
PUE_anarcho_liberal;Радикальная партия;X;
JAM;Ямайка;X;
JAM_ADJ;Ямайск.;X;
JAM_liberal;Либеральная партия;X;
