act_1867_title;Акт о Британской Северной Америке 1867;X;;;;;;;;;;;
act_1867_desc;Он учредил Доминион Канада, состоявший из четырёх колоний Британской империи: Онтарио и Квебека — бывшей Провинции Канада (или Соединённой Канады),— Нью-Брансуика и Новой Шотландии. Этот закон, включающий 147 статей, вводил в силу положения конституции современной Канады, и, с тех пор неоднократно исправлявшаяся, сегодня она по-прежнему действует.;X ;;;;;;;;;;;
act_1871_title;Акт о Британской Северной Америке 1871;X;;;;;;;;;;;
act_1871_desc;Акт о Британской Северной Америке 1871 (год 34-35 правления Виктории, гл. 28), изданный 29 июня 1871, подтверждает два закона, принятых Парламентом Канады: Акт 1869 о Северо-Западной территории и Акт о Манитобе 1870 — и разрешает создание дополнительных провинций на территориях, не входящих ни в одну провинцию. Он позволяет Канаде создавать новые провинции и территории, а также изменять границы провинций при согласии соответствующих провинций. Он также признаёт создание провинции Манитоба и включение в состав Канады Земли Руперта и Северо-Западной территории, что позволит канадскому Парламенту и законодательным собраниям Онтарио и Квебека расширить границы Онтарио и Квебека, чтобы присоединить часть этих новых территорий.;X ;;;;;;;;;;;
australia_dominion_title;Австралийский союз;X;;;;;;;;;;;
australia_dominion_desc;1 января 1901 года была образована Австралийская федерация на правах доминиона Британской Империи. Вступил в силу закон (ставший конституцией) о создании Австралийского Союза, объединились шесть колоний – Новый Южный Уэльс, Виктория, Квинсленд, Южная Австралия, Западная Австралия и Тасмания.;X;;;;;;;;;;;
newzeland_dominion_title;Новозеландский доминион;X;;;;;;;;;;;
newzeland_dominion_desc;В мае 1907, на Имперской Конференции, представители Новой Зеландии, подали прошение на имя короля, с просьбой присвоения им статуса доминиона. Прошение было принято, и уже 26 сентября был образован Новозеландский Доминион с фактически независимым управлением, собственной внутренней и внешней политикой.;X;;;;;;;;;;;
newfoundland_dominion_title;Доминион Ньюфаундленд;X;;;;;;;;;;;
newfoundland_dominion_desc;В 1907, Ньюфаундленду была дарована независимость, регион получил статус доминиона;X;;;;;;;;;;;
southafrica_dominion_title;Акт о Южной Африке;X;;;;;;;;;;;
southafrica_dominion_desc;На основании Акта о Южной Африке принятого Британским парламентом 31 мая 1910 года был образован Южно-Африканский Союз, включавший в себя четыре британских колонии: Капскую колонию, Натал, Колонию Оранжевой реки и Трансвааль. Сам ЮАС вошёл в Британскую империю на правах доминиона.;X;;;;;;;;;;;
ireland_dominion_title;Англо-ирландский договор;X;;;;;;;;;;;
ireland_dominion_desc;Англо-Ирландский договор (официальное название — Статьи соглашения по договору между Великобританией и Ирландией) — договор между правительством Соединённого королевства Великобритании и Ирландии и представителями самопровозглашённой Ирландской республики. Договор создал автономный доминион, Ирландское Свободное государство, в составе Британской империи, при условии, что Северная Ирландия, созданная Четвёртым актом о Гомруле 1920-го года (англ), может при желании выйти из его состава.;X;;;;;;;;;;;
rus_court_reform_title;Судебный устав 1864 года;X;;;;;;;;;;;
rus_court_reform_desc;Устав вводил единую систему судебных учреждений, исходя из формального равенства всех социальных групп перед законом. Судебные заседания проводились с участием заинтересованных сторон, были публичными, и отчёты о них публиковались в печати. Тяжущиеся стороны могли нанимать для защиты адвокатов, имевших юридическое образование и не состоявших на государственной службе. Центральный элемент реформы – введение суда присяжных. Реформа обеспечила гласность, состязательность и бессословность судопроизводства.;X;;;;;;;;;;;
zemstvo_reform_title;Земская реформа;Х;;;;;;;;;;;
zemstvo_reform_desc;Реформа состояла в том, что вопросы местного хозяйства, взыскание налогов, утверждение бюджета, начального образования, медицинского и ветеринарного обслуживания отныне поручались выборным учреждениям — уездным и губернским земским управам. Земские управы состояли из 6 человек, назначаемых земскими собраниями. Собрания созывались один раз в год, но в чрезвычайных ситуациях могли собираться и чаще. Управы работали на постоянной основе. Собрания давали распоряжения и контролировали их выполнение, а управы собственно занимались выполнением решений. Земские собрания можно сравнить с местными парламентами, а управы - с правительствами.;Х;;;;;;;;;;;
zemstva;Земские учреждения;Х;;;;;;;;;;;
zemstva_desc;Выборные органы местного самоуправления (земские собрания, земские управы). Ведают просвещением, здравоохранением, строительством дорог и т. д.;Х;;;;;;;;;;;
create_govement_duma_title;Государственная дума;Х;;;;;;;;;;;
create_govement_duma_desc;Манифестом от 6 августа 1905 года, император Николай II учредил Государственную Думу как «особое законосовещательное установление, коему предоставляется предварительная разработка и обсуждение законодательных предположений и рассмотрение росписи государственных доходов и расходов». Вскоре, после многочисленных акций протеста, последовал новый манифест от 17 октября 1905 года , установивший «как незыблемое правило, чтобы никакой закон не мог восприять силу без одобрения Государственной думы». Таким образом дума из совещательного органа, превратилась в законодательный.;Х;;;;;;;;;;;
greek_project_title;Греческий проект;X;;;;;;;;;;;
