#;X
COLONIAL_RANGE;Колониальная дистанция: §G+$VAL$§W;X
MODIFIER_LOCAL_SHIP_BUILD;Время строительства кораблей в провинции;X
CB_ALLOWED_ANNEX;Полное присоединение;X
CB_ALLOWED_ADD_TO_SPHERE;Присоединение к сфере;X
CB_ALLOWED_RELEASE_PUPPET;Освобождение вассала;X
CB_ALLOWED_STATUS_QUO;Возвращение к статусу-кво;X
CB_ALLOWED_TRANSFER_PROVINCES;Передача провинций;X
CB_ALLOWED_PRESTIGE;Снижение престижа;X
CB_ALLOWED_CONCESSION;Признание поражения;X
MAINTENANCE_DESC;Требуется товаров для работы:;X
MISSING_MAINTENANCE;Поскольку фабрике не хватает материалов, выпуск ею товаров сокращается на §R$PERC$§W.;X
PROCEED;Принять;X
ENDGAME_HEADLINE;Конец игры;X
ENDGAME_DESC;Прошло сто судьбоносных лет, и теперь вы вступаете в современную эпоху. За это время мир изменился просто радикально. А что произошло с вашей страной?;X
NEEDS_BOUGHT;Ожидаемые нужды на сегодня:;X
TOTAL_NEEDS_BOUGHT;Ожидаемые затраты на нужды:;X
TOTAL_SOLD_FOR;Вчера мы произвели $NUM$ ед. товара §Y$GOOD$§W, которые были проданы за $CASH$¤.;X
COULDNT_AFFORD;Фабрика не смогла вчера приобрести все необходимые ей для производства материалы.;X
INPUT_LACKING;На рынке не хватает товара §Y$GOOD$§W, чтобы удовлетворить все потребности фабрики в материалах на производство.;X
OUTPUT_WASTED;$NUM$ из $PRODUCED$ ед. товара §Y$GOOD$§W не были проданы вчера.;X
TRADE_CONFIRM_DESC;Ручное управление торговли означает, что нам однажды может потребоваться взять заем, чтобы купить требуемый товар.;X
BUDGET_TAX_EFFICIENCY;Эффективность налогообложения: §Y$VALUE$%§W;X
BUDGET_TAX_EFFECT;Эффективная ставка налогообложения: §Y$VALUE$%§W;X
LEADERSHIP_EFFECT;Лидерство: §G$VALUE$§W.\n;X
