#;;X
confederate_conscription_title;Ввести воинскую повинность!;X
confederate_conscription_desc;Рядовой состав вооружённых сил Конфедерации набирался из добровольцев, белых мужчин в возрасте от 16 до 28 лет. В 1862 правительство попыталось ввести воинскую повинность, но это решение встретило сильную оппозицию. Теперь, кажется, настало время изменить ситуацию!;X
conf_conscription;Воинская повинность;X
conf_conscription_desc;Теперь мы сможем поднять под ружье все способное к службе мужское население страны! South will never die!;X
choose_the_flag_title;Выбрать флаг Конфедерации;X
form_nigroes_brigade_title;Призвать под ружье рабов;X
form_nigroes_brigade_desc;Непомерные человеческие потери вынудили Конгресс Конфедерации принять решение о снижении возраста солдат до 12 лет и формировании «чёрных» отрядов, в которые набирались рабы в обмен на обещание свободы по окончании службы. Если резолюция пройдет, то некоторые верные дикси будут возмущены присутствием в воинских рядах 'цветных' солдат.;X
choose_the_flag_desc;Кроме идей, людям нужен еще флаг. Наши солдаты уже показали себя в боях, но у них знамя, которое они бы установили на Капитолии. Мы можем вынести на заседание Конгресса вопрос о выборе нашего государственного флага, что удовлетворит патриотические запросы сограждан.;X
EVTNAME91000;Флаг выбран!;X
EVTDESC91000;Официальный флаг Конфедеративных штатов Америки, известный под названием «Звёзды и Полосы», имел семь звезд, в честь семи штатов, первыми вошедшими в состав Конфедерации. Но в дыму сражения его было трудно отличить от флага США, поэтому было создано боевое знамя Конфедерации, получившее название «Южный Крест». Оно представляет собой 13 белых звёзд, вписанных в синий диагональный крест, находящийся на красном фоне. Каждая звезда — штат Конфедерации, включая Кентукки и Миссури. Общекомандное боевое знамя было квадратным, со стороной в 48 дюймов — для пехоты, 36 — для артиллерии и 30 — для кавалерии.;X
EVTOPTA91000;Поднимем же наши знамена!;X
EVTNAME91001;Гимн утвержден!;X
EVTDESC91001;Advance the flag of Dixie! \nHurrah! Hurrah! \nIn Dixie's land we take our stand, and live or die for Dixie! \nTo arms! To arms! \nAnd conquer peace for Dixie! \nTo arms! To arms! \nAnd conquer peace for Dixie;X
EVTOPTA91001;*подпевать*;X
choose_the_hymn_title;Выбрать гимн Южан;X
choose_the_hymn_desc;Официального гимна у Конфедеративных Штатов Америки не было, но неофициальным гимном стала песня «Dixie», написанная в конце 1850-х годов уроженцем Огайо Дэниелем Декатуром Эмметом и одинаково популярная, как на Севере, так и на Юге. После нескольких побед и разгорания надежды на будущее свободной Конфедерации, Конгресс готов рассмотреть этот вопрос;X
make_dollars_title;Рассмотреть вопрос государственной валюты;X
make_dollars_desc;"Вскоре после объявления создания нового государства Конфедеративные штаты стали выпускать собственную валюту.
В состав Конфедерации вошёл штат Луизиана. В столице этого штата Новом Орлеане находился монетный двор. Под контролем правительства новообразованного государственного образования на нём было выпущено 962 633 серебряных полудолларовых монет довоенного образца.";X
EVTNAME91003;Конгресс утвердил Доллар Конфедерации!;X
