MULTI_SEL_DESC;Нажмите §GSHIFT+ЛКМ§! Чтобы выбрать несколько отрядов из уже выбранных.;x
SM_DETAILS;Детали;x
DISBAND_ALL;Распустить выбранные войска;x
DISBAND_ALL_TITLE;Распустить все войска;x
DISBAND_ALL_DESC;Вы уверены, что хотите §Rраспустить§! все §Y$NUM$§! армий?;x
DATE_DIFF_A;$Y$ лет, $M$ месяцев и $D$ дней;x
DATE_DIFF_B;$M$ месяцев и $D$ дней;x
DATE_DIFF_C;$D$ дней;x
torpedo_attacks;Торпедные атаки;x
TORPEDO_ATTACK;Торпедная атака;x
TORPEDO_ATTACK_DESC;Торпедные атаки наносят огромный урон крупным кораблям.;x
NAVAL_COMBAT_STACK_PENALTY_DESC;§Yштраф к координации §R$PEN$%§Y вызван плохой слаженностью во флоте. Это усложнит нашим кораблям поиск целей. Произошло это из-за численного превосходства наших судов над потенциальными целями.§!;x
BP_TAB_CURRENT;Текущие планы;x
BP_TAB_HISTORICAL;Исторические планы;x
BP_TOOL_COLOR_RED;Красный;x
BP_TOOL_COLOR_GREEN;Зеленый;x
BP_TOOL_COLOR_BLUE;Синий;x
BP_TOOL_COLOR_YELLOW;Желтый;x
BP_TOOL_ARROW_SLIM;Тонкая стрелка;x
BP_TOOL_ARROW_MEDIUM_1;Средняя стрелка 1;x
BP_TOOL_ARROW_MEDIUM_2;Средняя стрелка 2;x
BP_TOOL_ARROW_MEDIUM_3;Средняя стрелка 3;x
BP_TOOL_ARROW_THICK;Толстая стрелка;x
BP_TOOL_BORDER_1;Тип границы 1;x
BP_TOOL_BORDER_2;Тип границы 2;x
BP_TOOL_BORDER_3;Тип границы 3;x
BP_TOOL_BORDER_4;Тип границы 4;x
BP_TOOL_BORDER_5;Тип границы 5;x
BP_TOOL_ICON_AIRPLANE;Инонка самолета;x
BP_TOOL_ICON_TANK;Иконка танка;x
BP_TOOL_ICON_BOMB_1;Маленькая иконка бомбы;x
BP_TOOL_ICON_BOMB_2;Большая иконка бомбы;x
BP_SAVE_PLAN_CONFIRM;Сохранить план;x
BP_SAVE_PLAN_CANCEL;Закрыть;x
BP_SAVE_PLAN_PROMPT;План сражения уже существует!\nХотите изменить его?;x
BP_DELETE_SAVED_PLAN_PROMPT;Вы уверены, что хотите удалить сохраненный план сражения?;x
