LACK_OF_MAINTENANCE_GOODS;Нехватка припасов;;Ungenьgend Wartungsgьter;;;;;;;;x;;;
AIREASON_TOO_MANY_CRISIS_WARGOALS;Добавленные цели войны;;Hinzugefьgte Kriegsziele;;;;;;;;x;;;
AIREASON_NOT_OVERLORD;Не мой повелитель;;Nicht mein Herrscher;;;;;;;;x;;;
EVTNAME36230;Покупка белых медведей;;Der Polarbдr Kauf;;;;;;;;x;;;
EVTDESC36230;Ян Майен хочет купить у нас всех белых медведей по хорошей цене. Они обещают ухаживать за ними с заботой и уважением, полагающимся этим величественным животным.;;Jan Mayen mцchte alle unsere Polarbдren kaufen. Sie versprechen diese mit Fьrsorge zu versorgen und mit ausreichend Ehre zu behandeln.;;;;;;;;x;;;
EVTOPTA36230;ОК!;;Okay!;;;;;;;;x;;;
EVTOPTB36230;Никогда!;;Niemals!;;;;;;;;x;;;
EVTNAME36231;Покупка белых медведей — Дания соглашается;;Der Polarbдr Kauf - Denmark hat akzeptiert;;;;;;;;x;;;
EVTDESC36231;Дания согласилась продать нам всех своих белых медведей.;;Denmark hat zugestimmt uns all ihre Polarbдren zu verkaufen.;;;;;;;;x;;;
EVTOPTA36231;Прекрасно!;;GroЯartig!;;;;;;;;x;;;
EVTNAME36232;Покупка белых медведей — Дания отказывается;;Der Polarbдr Kauf - Denmark hat abgelehnt;;;;;;;;x;;;
EVTDESC36232;Дания отказалась продавать нам белых медведей.;;Denmark hat sich geweigert uns ihre Polarbдren zu verkaufen.;;;;;;;;x;;;
EVTOPTA36232;О нет!;;Oh nein!;;;;;;;;x;;;
the_greenland_purchase_title;Покупка белых медведей;;Der Polarbдr Kauf;;;;;;;x;;;;
the_greenland_purchase_desc;Долгое время жителей Великого Ян Майена беспокоил тот факт, что белые медведи не объединены под одним флагом. Мы должны сблизиться с Данией и попросить их продать нам часть их медведей.;;Es ist ein beschwerlicher Fakt fьr die Bewohner von Jan Mayen, das die Polarbдren der Welt nciht unter einer Flagge vereint sind.;;;;;;;;x;;;
bears;Медведи;;Bдren;;;;;;;;x;;;
polar_bears;Белые медведи;;Polarbдren;;;;;;;;x;;;
INFLUENCE_SPHERE_NEIGHBOUR;Соседняя страна в сфере;;Benachbarter Spherenmitglied;;;;;;;;x;;;
col_liferate_techs;Исследовав эти технологии, вы сможете уменьшить минимальный уровень жизни:;;Folgende Forschungen zu erfoschen wird mit den lokalen Lebensbeschaffenheiten helfen:;;;;;;;;x;;;
unite_moldavia_wallachia_title;Союз Молдавии и Валахии!;;Union von Moldavien und Wallachai;;;;;;;;x;;;
unite_moldavia_wallachia_desc;Народы Молдавии и Валахии решили объединиться и сформировать Румынию!;;Die Nationen Moldavia und Wallachai sind zusammengekommen um Romania zu grьnden!;;;;;;;;x;;;
SOIS_HAS_REBELS_WARNING;Повстанцы восстали в странах, находящихся в нашей сфере §Y$LIST$§!;;Rebellen haben bei Spherenmitgliedern rebelliert: §Y$LIST$§!;;;;;;;;x;;;
ALLIANCE_INVALID_GPS_IN_CRISIS;Союз  §Ytwo Great Powers§! не может быть заключен , пока §Ycrisis§! активен.;;Eine Allianz zwischen §Yzwei GroЯmдchten§! kann nicht geformt werden wдhrend die §YKrise§! aktiv ist.;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_1_DASHED;Средняя пунктирная стрелка 1;;Mittlerer gestrichelter Pfeil 1;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_2_DASHED;Средняя пунктирная стрелка  2;;Mittlerer gestrichelter Pfeil 2;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_3_DASHED;Средняя пунктирная стрелка 3;;Mittlerer gestrichelter Pfeil 3;;;;;;;x;;;;
