GREAT_WARS_ENABLED_DESC;Великие Войны открыты;x
GREAT_WARS_DISABLED_DESC;Великие войны ещё не открыты;x
GREAT_WARS_ENABLE_DESC;Войны могут получить статус великих войн!;x
GREAT_WAR_NAME;$ORDER$ Великая Война;x
GW_DISCOVERED_SETUP;Когда Великие Войны открыты;x
GW_DISCOVERED_HEADER;Великие Войны открыты!;x
GW_DISCOVERED_1;Великие Войны открыты!;x
GW_DISCOVERED_2;С этого момента, любая война, в которой;x
GW_DISCOVERED_3;участвуют по-крайней мере две Великие Державы;x
GW_DISCOVERED_4;с каждой стороны, получит статус;x
GW_DISCOVERED_5;§YВеликой Войны!§!.;x
GW_DISCOVERED_6;*;x
GW_DISCOVERED_BTN1;OK;x
GW_DISCOVERED_BTN2;OK;x
GW_DISCOVERED_BTN3;Перейти к;x
GW_DISCOVERED_LOG;Великие Войны открыты!;x
WAR_GAIN_GW_STATUS_SETUP;Когда наша война получает статус Великой.;x
WAR_GAIN_GW_STATUS_HEADER;Великая Война!;x
WAR_GAIN_GW_STATUS_1;$WAR$;x
WAR_GAIN_GW_STATUS_2;получила статус;x
WAR_GAIN_GW_STATUS_3;§YВеликой Войны§!;x
WAR_GAIN_GW_STATUS_4;*;x
WAR_GAIN_GW_STATUS_5;*;x
WAR_GAIN_GW_STATUS_6;*;x
WAR_GAIN_GW_STATUS_BTN1;OK;x
WAR_GAIN_GW_STATUS_BTN2;OK;x
WAR_GAIN_GW_STATUS_BTN3;Перейти к;x
WAR_GAIN_GW_STATUS_LOG;$WAR$ стала §YВеликой Войной§!;x
WAR_LOST_GW_STATUS_SETUP;Когда наша война теряет статус Великой.;x
WAR_LOST_GW_STATUS_HEADER;Война потеряла статус Великой!;x
WAR_LOST_GW_STATUS_1;$WAR$;x
WAR_LOST_GW_STATUS_2;больше не;x
WAR_LOST_GW_STATUS_3;Великая Война;x
WAR_LOST_GW_STATUS_4;*;x
WAR_LOST_GW_STATUS_5;*;x
WAR_LOST_GW_STATUS_6;*;x
WAR_LOST_GW_STATUS_BTN1;OK;x
WAR_LOST_GW_STATUS_BTN2;OK;x
WAR_LOST_GW_STATUS_BTN3;Перейти к;x
WAR_LOST_GW_STATUS_LOG;$WAR$ больше не §YВеликая Война§!;x
