army_leadership_1;Army Leadership 1;Fortifications de campagne;Feldbefestigungen;;;;;;;;;;;x
army_leadership_1_desc;Officers during the early years of the war of spanish succession focused more heavily on drilling the infantry to withstand sustained enemy fire.;Il s'agit des premières fortifications qui utilisaient des matériaux et techniques d'ingénierie modernes. Cette amélioration permet de construire un nouveau type de fortification.;Dies war die erste Befestigungsart, für die moderne Materialien und Ingenieurstechniken zum Einsatz kamen. Diese Anwendung gibt Ihnen die Möglichkeit, einen neuen Befestigungstyp zu bauen.;;;;;;;;;;;x
army_leadership_2;Army Leadership 2 ;;;;;;;;;;;;;x
army_leadership_2_desc;Our battle strategy has evolved to improve infantry line formations onthe battlefield.;;;;;;;;;;;;;x
army_leadership_3;Army Leadership 3 ;;;;;;;;;;;;;x
army_leadership_3_desc;With our infantry now going up against the enemy in line formation our tacticians have developed ways into which they could increase their firepower through repeated volley fire.;;;;;;;;;;;;;x
army_leadership_4;Army Leadership 4 ;;;;;;;;;;;;;x
army_leadership_4_desc;With our volley fire technique perfected our officers at the national military academy have devised a way for our soldiers to fire two ranks per volley instead of the usual one.;;;;;;;;;;;;;x
army_leadership_5;Army Leadership 5 ;;;;;;;;;;;;;x
army_leadership_5_desc;Military tactics has again come under review. Our officers believe that improving upon infantry reload times and adopting a training program focusing on weapon handling we will be able to hit enemy lines before they come into range of ours.;;;;;;;;;;;;;x
army_leadership_6;Army Leadership 6 ;;;;;;;;;;;;;x
army_leadership_6_desc;Our generals have discovered that establishing a fixed battlefield command post at a central location toward the rear allows messengers to always know where the HQ is located. Saddle orders run more efficiently sent during battles.;;;;;;;;;;;;;x
army_leadership_7;Army Leadership 7 ;;;;;;;;;;;;;x
army_leadership_7_desc;Tactical training is now mandatory for all new officers joining the army. They will learn how to hold their regiments togeather under enemy fire and maintain rigid line formation.;;;;;;;;;;;;;x
army_leadership_8;Army Leadership 8 ;;;;;;;;;;;;;x
army_leadership_8_desc;If we enforce a strict code of conduct for our officers and also ensure that they come from proper aristocratic stock than our soldiers will feel they are being led by true leaders.;;;;;;;;;;;;;x
army_leadership_9;Army Leadership 9 ;;;;;;;;;;;;;x
