KEYNAME;Текст;x
news1;Правительство державы $TAG_2_0$ предложило перемирие на следующих условиях: $STRING_0_1$;x
battle_we_win_title_large;БЛЕСТЯЩАЯ ПОБЕДА В $STRING_0_3$!;x
battle_we_win_large;$DATE_LONG_0$ наша непобедимая армия снова одержала победу в $STRING_0_3$! $VALUE_INT_0_1$ наших людей храбро сражались с $VALUE_INT_0_3$;x
battle_we_win_title_medium;Победа в $STRING_0_3$!;x
battle_we_win_medium;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$ в $STRING_0_3$, ценой $VALUE_INT_0_2$ человеческих жизней.;x
battle_we_win_title_small;Победа!;x
battle_we_win_small;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$ в $STRING_0_3$.;x
battle_we_lose_title_large;ВОЕННАЯ ОШИБКА ПРИВОДИТ К КАТАСТРОФЕ В $STRING_0_3$!;x
battle_we_lose_large;$DATE_LONG_0$ некомпетентное командование опрометчиво отправило $VALUE_INT_0_4$ наших храбрых солдат на смерть в $STRING_0_3$.;x
battle_we_lose_title_medium;Поражение в $STRING_0_3$;x
battle_we_lose_medium;$DATE_LONG_0$ мы проиграли битву в $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и $TAG_0_2$ теперь контролирует эту территорию.;x
battle_we_lose_title_small;Катастрофа в $STRING_0_3$;x
battle_we_lose_small;$DATE_LONG_0$ мы проиграли битву в $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и $TAG_0_2$ теперь контролирует эту территорию.;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ СДАЕТСЯ!;x
gwar_we_win_large_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашей великой победой. Война, известная как $STRING_0_0$, началась $DATE_SHORT_0$ и длилась до $STRING_9_0$, результатом стало $STRINGS_LIST_4$.;x
gwar_we_win_medium_title;ПОДПИСАНО ПЕРЕМИРИЕ!\n ПОБЕДА!;x
gwar_we_win_medium_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашей великой победой. Война, известная как $STRING_0_0$, началась $DATE_SHORT_0$ и длилась до $STRING_9_0$;x
gwar_we_win_small_title;Победа над державой $TAG_3_0$!;x
gwar_we_win_small_desc;$STRING_0_0$ закончилась поражением $TAG_3_0$.;x
gwar_we_lose_large_title;ДЕНЬ ПОЗОРА.\n МИР С ДЕРЖАВОЙ $TAG_2_0_UPPER$ ПОДПИСАН!;x
gwar_we_lose_large_desc;$DATE_LONG_1$ Великая Война против державы $TAG_2_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, и результатом ее стало $STRINGS_LIST_4$.;x
gwar_we_lose_medium_title;ПЕРЕМИРИЕ С ДЕРЖАВОЙ $TAG_2_0_UPPER$!;x
gwar_we_lose_medium_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, бушевала с $DATE_SHORT_0$ до $STRING_9_0$.;x
gwar_we_lose_small_title;Мир с державой $TAG_2_0$;x
gwar_we_lose_small_desc;$STRING_0_0$ закончилась нашим поражение от рук $TAG_2_0$;x
war_we_win_large_title;ПОДПИСАНО ПЕРЕМИРИЕ\n $TAG_3_0_UPPER$ СДАЕТСЯ;x
war_we_win_large_desc;$DATE_LONG_1$ война между $TAG_0_0$ и $TAG_1_0$ закончилась нашей славной победой. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, и результатом стало $STRINGS_LIST_4$.;x
war_we_win_medium_title;ПЕРЕМИРИЕ ПОДПИСАНО!\n ПОБЕДА!;x
war_we_win_medium_desc;$DATE_LONG_1$ война между $TAG_0_0$ и $TAG_1_0$ закончилась нашей славной победой. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$.;x
war_we_win_small_title;Победа над державой $TAG_3_0$!;x
war_we_win_small_desc;$STRING_0_0$ закончилась поражением державы $TAG_3_0$.;x
war_we_lose_large_title;ПОЗОРНЫЙ ДЕНЬ.\n МИР С ДЕРЖАВОЙ $TAG_2_0_UPPER$ ПОДПИСАН!;x
war_we_lose_large_desc;$DATE_LONG_1$ война против $TAG_2_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, результатом стало $STRINGS_LIST_4$.;x
war_we_lose_medium_title;ПОЗОРНЫЙ МИР ПОДПИСАН!;x
war_we_lose_medium_desc;$DATE_LONG_1$, война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, держава $TAG_2_0$ стала победителем.;x
war_we_lose_small_title;Мир с державой $TAG_2_0$;x
war_we_lose_small_desc;$STRING_0_0$ закончилась нашим поражением от рук державы $TAG_2_0$;x
rebels_win_small_title;Революция!;x
rebels_win_small_desc;$STRING_0_0$ закончилось победой над державой $TAG_0_0$, это почти разрушило страну, что же $STRING_0_3$ $STRING_0_4$ будет делать теперь?;x
KEYNAME;TEXT;x
some_fake_1836_title_1;Опиумная лихорадка!;x
some_fake_1836_1;Китай охватило опиумное безумие, торговцы говорят, что дорога долгая, но оно того стоит.;x
some_fake_1836_title_2;Увлечение Эфиром;x
some_fake_1836_2;Популярность эфира достигла высшей точки, эксперты же говорят: «Это газ!»;x
some_fake_1836_title_3;Сладкие сны;x
some_fake_1836_3;Первое использование общей анестезии в операции, хирург в США усыпляет пациента на время удаления опухоли.;x
some_fake_1836_title_4;Кодовые слова;x
some_fake_1836_4;Первое телеграфное сообщение было отправлено в США Сэмюэлем Морзе.;x
some_fake_1836_title_5;Филателисты, радуйтесь!;x
some_fake_1836_5;В Великобритании появилась почтовая марка, называющаяся «Черный Пенни». На ней изображена молодая королева Виктория.;x
some_fake_1836_title_6;Уже в продаже!;x
some_fake_1836_6;«Мертвые души», выпущеннные в России, критики утверждаюст, что книга слишком сложна для понимания.;x
some_fake_1836_title_7;Духовой или латунный?;x
some_fake_1836_title_8;Золотая лихорадка!;x
some_fake_1836_8;В Калифорнии было обнаружено золото. В связи с этим туда начался массовый наплыв золотоискателей!;x
some_fake_1836_title_9;«Ворон» опубликован;x
some_fake_1836_9;Последняя мрачная новелла Алана Эдгара По заставит ваши волосы подняться на затылке.;x
some_fake_1836_title_10;Пышные женские формы;x
some_fake_1836_10;(Читателю рекомендуется быть осмотрительным) Были обозначены минимальные и максимальные значения обхвата женских талии и бедер. Продолжение на странице 5;x
some_fake_1836_title_11;Колонка Шеф-редактора:;x
some_fake_1836_11;Либерализм уничтожит западную цивилизацию. Без сильной власти люди вернутся назад к варварству, чтобы выжить и прокормить своих детей. (смотри стр. 10);x
some_fake_1850_title_1;Наши предки?;x
some_fake_1850_1;Ученые шокированы останками Неандертальца, найденными в Германии.;x
some_fake_1850_title_2;Колонка Шеф-редактора:;x
some_fake_1850_2;Проверенное мнение, что животный жир-лучшее средство для смазки оружия. Узнай, как мы это установили (см. стр. 10);x
some_fake_1850_title_3;Каналы в упадке;x
some_fake_1850_3;Система каналов, когда-то бывшая гордостью нашего народа, близка к разрушению. Что можно сделать? Продолжение на странице 4.;x
some_fake_1860_title_1;Линкольн убит;x
some_fake_1860_1;Авраам Линкольн убит в театре Форда Джоном Уилкисом Бутом. Застрелен с близкого расстояния.;x
some_fake_1860_title_2;Линкольн в порядке;x
some_fake_1860_2;Неудавшаяся попытка убийства Авраама Линкольна. Президент сбрасывает нападавшего с балкона в театре Форда.;x
some_fake_1860_title_3;Неспортивный;x
some_fake_1860_3;Военные субмарины были признанны нечестным вооружением и их использование бессрочно запрещено.;x
some_fake_1860_title_4;Здравоохраниение;x
some_fake_1860_4;Флоренс Найтингейл основывает школу для медсестер в больнице Святого Томаса в Лондоне.;x
some_fake_1860_title_5;Элементы упорядоченны;x
some_fake_1860_5;Дмитрий Менделеев изобрел периодическую систему, где упорядочены все 56 известных элементов.;x
some_fake_1860_title_6;Увлечение ездой;x
some_fake_1860_6;Увелечение велосипедной ездой охватывает запад, велосипед - обязательное имущество!;x
some_fake_1860_title_7;Ширина на все времена;x
some_fake_1860_7;Сообщено, что средняя ширина сомбреро бандита в Мексике выросла до невероятных 57 дюймов.;x
some_fake_1860_title_8;Созданны пожарные части;x
some_fake_1860_8;Это ново, но это хорошо;x
some_fake_1860_title_9;Футбол набирает популярность;x
some_fake_1860_9;Посещаемость футбольных матчей очень выросла в последнее время, доказана их популярность у рабочих и низшего класса.;x
some_fake_1860_title_10;Колонка Шеф-редактора:;x
some_fake_1860_10;Опасайтесь женщин бисексуалок. Женщины в открытых машинах, юбки небрежно развеваются на ветру, лодыжки у всех на виду, так легко поддаться безумию. (стр. 10);x
some_fake_1860_title_11;Помпеи и Геркуланум снова при жизни;x
some_fake_1860_11;Новые методы раскопок позволят вернуться в мир городов, разрушенных извержением Везувия в 79 году н.э.;x
some_fake_1870_title_1;Колонка Шеф-редактора:;x
