;;;;x
virginia_company_title;Grant Charter to the Virginia Company;x;;
virginia_company_desc;Many illustrious Englishmen are favourable to the idea of building colonies in the Americas in order to gain wealth. By granting charters to the Virginia companies of London and Plymouth we would permit them to build settlements in our name in these strange new lands.;x;;
tea_party_title;The Boston Tea Paty;x;;
tea_party_desc;Tax after tax we have let the British humiliate these colonies. It's time to take a stand and show the tyrants in London what we freeborn Americans think of their tea act!;x;;
EVTDESC400001;With the people behind us we are now firmly in control of this new American nation. While there is much talk about a Republic based on the values of the enlightenment, and indeed Thomas Jefferson has written the draft of a declaration stating just that, there is nothing preventing us from following a different path.;x;;
found_quebec_title;Habitation de QuÅEEbec;x;;
found_quebec_desc;Samuel de Champlain has recently returned from an expedition to the land they call Quebec. He has since then asked the French government to support a new expedition with the goal of establishing a permanent settlement at the mouth of the St. Lawrence river.;x;;
EVTDESC400002;$MONARCHTITLE$! Your majesty's governor of Massachussets reports that three East India Company tea ships, the Dartmouth, the Eleanor and the Beaver have been savagely attacked by rebellious colonists in Boston. The rebels, calling themselves 'sons of liberty' and disguised as Indians under the leadership of Samuel Adams, forcibly made their way aboard the ships and proceeded to throw overboard thousands of pounds worth of tea! All this apparently in protest of our recent Tea Act. What shall we do?;x;;
tea_act_title;The Tea Act;x;;
tea_act_desc;The Tea Act will address certain issues regarding tea and other commodities in our American colonies. The proposed taxes and trade restrictions should solve problems which have plagued the Empire's tea trade for many years. Our governors warn however that many colonists will not take the news of new demands from England lightly.;x;;
townshend_act_title;The Townshend Act;x;;
townshend_act_desc;Charles Townshend, after whom this act is named, has devised a cunning plan to address both economic and political difficulties we have encountered in our dealings with our American colonies recently through the use of new colonial authorities and taxes.;x;;
primitivemod;Our ways are the best;x;;
primitivemod_desc;Our ways are the best;x;;
townshend_act_mod_thc;Townshend Act;x;;
townshend_act_mod_thc_desc;Townshend Act;x;;
1604_london_treaty_title;Sign: Treaty of London 1604;x;;
