[session.cpp:379]: Terminated session InitialSession after 6 executed commands
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 736
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 995
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 994
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:548]: Atempted to execute invalid order with token 996
[session.cpp:379]: Terminated session Launch after 5192 executed commands
